instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,count
76,11-12-2011,Winter,2011,December,14,No Holiday,Sunday,Working Day,Heavy Snow or Rain,172
77,15-06-2012,Summer,2012,June,3,No Holiday,Friday,Working Day,Clear or Partly Cloudy,7
78,01-06-2011,Summer,2011,June,1,No Holiday,Wednesday,Working Day,Clear or Partly Cloudy,11
79,18-06-2011,Summer,2011,June,12,No Holiday,Saturday,Working Day,Clear or Partly Cloudy,55
80,04-06-2011,Summer,2011,June,6,No Holiday,Saturday,Non-Working Day,Clear or Partly Cloudy,20
81,26-02-2012,Winter,2012,February,0,No Holiday,Sunday,Working Day,Heavy Snow or Rain,283
82,01-10-2011,Fall,2011,October,21,No Holiday,Saturday,Working Day,Cloudy or Light Rain,136
83,12-10-2011,Fall,2011,October,23,No Holiday,Wednesday,Working Day,Cloudy or Light Rain,139
84,11-10-2011,Fall,2011,October,22,No Holiday,Tuesday,Working Day,Cloudy or Light Rain,155
85,28-12-2011,Winter,2011,December,18,No Holiday,Wednesday,Non-Working Day,Heavy Snow or Rain,390
86,17-06-2012,Summer,2012,June,17,No Holiday,Sunday,Working Day,Clear or Partly Cloudy,724
87,13-12-2012,Winter,2012,December,20,Holiday,Thursday,Non-Working Day,Heavy Snow or Rain,227
88,22-07-2012,Summer,2012,July,0,No Holiday,Sunday,Working Day,Clear or Partly Cloudy,44
89,12-04-2011,Spring,2011,April,1,No Holiday,Tuesday,Working Day,Light Rain or Mist,11
90,09-04-2011,Spring,2011,April,2,Holiday,Saturday,Non-Working Day,Light Rain or Mist,11
91,20-12-2011,Winter,2011,December,11,Holiday,Tuesday,Non-Working Day,Heavy Snow or Rain,349
92,27-06-2011,Summer,2011,June,4,No Holiday,Monday,Working Day,Clear or Partly Cloudy,10
93,11-12-2012,Winter,2012,December,4,No Holiday,Tuesday,Working Day,Heavy Snow or Rain,7
94,17-07-2012,Summer,2012,July,8,No Holiday,Tuesday,Non-Working Day,Clear or Partly Cloudy,149
95,26-02-2012,Winter,2012,February,1,No Holiday,Sunday,Non-Working Day,Heavy Snow or Rain,116
96,06-08-2011,Summer,2011,August,2,No Holiday,Saturday,Working Day,Clear or Partly Cloudy,13
97,12-10-2011,Fall,2011,October,21,No Holiday,Wednesday,Non-Working Day,Cloudy or Light Rain,187
98,08-08-2011,Summer,2011,August,23,No Holiday,Monday,Working Day,Clear or Partly Cloudy,108
99,10-09-2011,Fall,2011,September,17,No Holiday,Saturday,Working Day,Cloudy or Light Rain,242
100,04-04-2012,Spring,2012,April,0,No Holiday,Wednesday,Working Day,Light Rain or Mist,85
101,20-10-2012,Fall,2012,October,18,No Holiday,Saturday,Working Day,Cloudy or Light Rain,770
102,28-01-2012,Winter,2012,January,4,No Holiday,Saturday,Working Day,Heavy Snow or Rain,6
103,13-04-2012,Spring,2012,April,21,No Holiday,Friday,Non-Working Day,Light Rain or Mist,48
104,28-08-2012,Summer,2012,August,14,No Holiday,Tuesday,Working Day,Clear or Partly Cloudy,274
105,15-03-2011,Spring,2011,March,6,No Holiday,Tuesday,Working Day,Light Rain or Mist,26
106,09-12-2011,Winter,2011,December,15,No Holiday,Friday,Working Day,Heavy Snow or Rain,185
107,11-06-2011,Summer,2011,June,9,No Holiday,Saturday,Working Day,Clear or Partly Cloudy,165
108,15-11-2011,Fall,2011,November,17,Holiday,Tuesday,Non-Working Day,Cloudy or Light Rain,436
109,09-11-2011,Fall,2011,November,12,No Holiday,Wednesday,Working Day,Cloudy or Light Rain,86
110,28-12-2012,Winter,2012,December,4,No Holiday,Friday,Working Day,Heavy Snow or Rain,3
111,22-01-2011,Winter,2011,January,19,No Holiday,Saturday,Non-Working Day,Heavy Snow or Rain,144
112,01-07-2011,Summer,2011,July,20,No Holiday,Friday,Working Day,Clear or Partly Cloudy,238
113,24-05-2012,Spring,2012,May,16,No Holiday,Thursday,Non-Working Day,Light Rain or Mist,659
114,27-09-2012,Fall,2012,September,5,No Holiday,Thursday,Working Day,Cloudy or Light Rain,19
115,28-01-2011,Winter,2011,January,13,No Holiday,Friday,Working Day,Heavy Snow or Rain,196
116,18-01-2012,Winter,2012,January,8,Holiday,Wednesday,Non-Working Day,Heavy Snow or Rain,153
117,08-02-2011,Winter,2011,February,0,No Holiday,Tuesday,Working Day,Heavy Snow or Rain,7
118,02-07-2011,Summer,2011,July,20,No Holiday,Saturday,Working Day,Clear or Partly Cloudy,88
119,10-12-2012,Winter,2012,December,17,No Holiday,Monday,Working Day,Heavy Snow or Rain,830
120,14-10-2012,Fall,2012,October,9,No Holiday,Sunday,Non-Working Day,Cloudy or Light Rain,81
121,26-02-2011,Winter,2011,February,11,No Holiday,Saturday,Non-Working Day,Heavy Snow or Rain,275
122,27-01-2012,Winter,2012,January,18,No Holiday,Friday,Non-Working Day,Heavy Snow or Rain,614
123,24-12-2011,Winter,2011,December,6,No Holiday,Saturday,Working Day,Heavy Snow or Rain,22
124,07-07-2011,Summer,2011,July,0,No Holiday,Thursday,Working Day,Clear or Partly Cloudy,19
125,04-09-2012,Fall,2012,September,0,No Holiday,Tuesday,Working Day,Cloudy or Light Rain,53
126,15-11-2012,Fall,2012,November,18,No Holiday,Thursday,Working Day,Cloudy or Light Rain,813
127,13-04-2011,Spring,2011,April,19,No Holiday,Wednesday,Non-Working Day,Light Rain or Mist,175
128,19-06-2012,Summer,2012,June,13,No Holiday,Tuesday,Working Day,Clear or Partly Cloudy,228
129,01-10-2011,Fall,2011,October,22,No Holiday,Saturday,Non-Working Day,Cloudy or Light Rain,45
130,13-10-2011,Fall,2011,October,1,No Holiday,Thursday,Working Day,Cloudy or Light Rain,6
131,05-09-2011,Fall,2011,September,13,No Holiday,Monday,Working Day,Cloudy or Light Rain,207
132,12-03-2011,Spring,2011,March,16,No Holiday,Saturday,Non-Working Day,Light Rain or Mist,343
133,26-03-2012,Spring,2012,March,2,No Holiday,Monday,Working Day,Light Rain or Mist,6
134,10-10-2012,Fall,2012,October,13,No Holiday,Wednesday,Working Day,Cloudy or Light Rain,278
135,12-07-2011,Summer,2011,July,0,No Holiday,Tuesday,Working Day,Clear or Partly Cloudy,33
136,04-05-2012,Spring,2012,May,3,No Holiday,Friday,Non-Working Day,Light Rain or Mist,46
137,24-03-2011,Spring,2011,March,19,No Holiday,Thursday,Non-Working Day,Light Rain or Mist,106
138,08-12-2011,Winter,2011,December,11,No Holiday,Thursday,Working Day,Heavy Snow or Rain,50
139,22-02-2012,Winter,2012,February,17,Holiday,Wednesday,Non-Working Day,Heavy Snow or Rain,712
140,27-12-2012,Winter,2012,December,2,No Holiday,Thursday,Working Day,Heavy Snow or Rain,16
141,05-12-2011,Winter,2011,December,1,No Holiday,Monday,Working Day,Heavy Snow or Rain,10
142,21-10-2011,Fall,2011,October,15,No Holiday,Friday,Working Day,Cloudy or Light Rain,187
143,22-10-2011,Fall,2011,October,16,No Holiday,Saturday,Working Day,Cloudy or Light Rain,263
144,05-05-2012,Spring,2012,May,15,No Holiday,Saturday,Working Day,Light Rain or Mist,292
145,27-08-2012,Summer,2012,August,21,No Holiday,Monday,Non-Working Day,Clear or Partly Cloudy,181
146,06-03-2011,Spring,2011,March,14,No Holiday,Sunday,Non-Working Day,Light Rain or Mist,161
147,01-12-2011,Winter,2011,December,8,No Holiday,Thursday,Non-Working Day,Heavy Snow or Rain,59
148,07-04-2012,Spring,2012,April,19,No Holiday,Saturday,Non-Working Day,Light Rain or Mist,110
149,19-07-2011,Summer,2011,July,6,No Holiday,Tuesday,Working Day,Clear or Partly Cloudy,28
150,20-02-2012,Winter,2012,February,8,No Holiday,Monday,Working Day,Heavy Snow or Rain,445
151,17-11-2012,Fall,2012,November,17,No Holiday,Saturday,Working Day,Cloudy or Light Rain,779
152,15-07-2012,Summer,2012,July,14,No Holiday,Sunday,Working Day,Clear or Partly Cloudy,490
153,23-10-2011,Fall,2011,October,15,No Holiday,Sunday,Working Day,Cloudy or Light Rain,65
154,12-02-2011,Winter,2011,February,8,No Holiday,Saturday,Working Day,Heavy Snow or Rain,486
155,21-12-2011,Winter,2011,December,21,Holiday,Wednesday,Non-Working Day,Heavy Snow or Rain,60
156,07-07-2012,Summer,2012,July,1,No Holiday,Saturday,Working Day,Clear or Partly Cloudy,18
157,09-07-2012,Summer,2012,July,12,No Holiday,Monday,Non-Working Day,Clear or Partly Cloudy,221
158,04-09-2011,Fall,2011,September,2,No Holiday,Sunday,Working Day,Cloudy or Light Rain,16
159,17-04-2011,Spring,2011,April,2,No Holiday,Sunday,Non-Working Day,Light Rain or Mist,94
160,07-03-2011,Spring,2011,March,2,No Holiday,Monday,Working Day,Light Rain or Mist,4
161,02-01-2011,Winter,2011,January,12,Holiday,Sunday,Non-Working Day,Heavy Snow or Rain,200
162,08-02-2011,Winter,2011,February,8,No Holiday,Tuesday,Working Day,Heavy Snow or Rain,385
163,01-12-2012,Winter,2012,December,4,No Holiday,Saturday,Working Day,Heavy Snow or Rain,11
164,22-07-2012,Summer,2012,July,13,No Holiday,Sunday,Non-Working Day,Clear or Partly Cloudy,337
165,24-11-2012,Fall,2012,November,4,Holiday,Saturday,Non-Working Day,Cloudy or Light Rain,4
166,04-02-2011,Winter,2011,February,12,No Holiday,Friday,Working Day,Heavy Snow or Rain,176
167,14-03-2011,Spring,2011,March,23,Holiday,Monday,Non-Working Day,Light Rain or Mist,64
168,26-08-2011,Summer,2011,August,13,No Holiday,Friday,Working Day,Clear or Partly Cloudy,58
169,28-08-2011,Summer,2011,August,0,No Holiday,Sunday,Working Day,Clear or Partly Cloudy,4
170,03-11-2012,Fall,2012,November,23,No Holiday,Saturday,Working Day,Cloudy or Light Rain,18
171,02-11-2012,Fall,2012,November,4,No Holiday,Friday,Non-Working Day,Cloudy or Light Rain,10
172,22-06-2011,Summer,2011,June,16,No Holiday,Wednesday,Non-Working Day,Clear or Partly Cloudy,204
173,26-12-2011,Winter,2011,December,16,No Holiday,Monday,Non-Working Day,Heavy Snow or Rain,398
174,12-07-2012,Summer,2012,July,21,No Holiday,Thursday,Working Day,Clear or Partly Cloudy,122
175,08-12-2012,Winter,2012,December,7,No Holiday,Saturday,Working Day,Heavy Snow or Rain,230
176,27-02-2011,Winter,2011,February,6,No Holiday,Sunday,Working Day,Heavy Snow or Rain,64
177,10-04-2012,Spring,2012,April,10,No Holiday,Tuesday,Working Day,Light Rain or Mist,147
178,05-01-2011,Winter,2011,January,16,Holiday,Wednesday,Non-Working Day,Heavy Snow or Rain,243
179,11-04-2012,Spring,2012,April,10,No Holiday,Wednesday,Working Day,Light Rain or Mist,164
180,08-09-2011,Fall,2011,September,12,No Holiday,Thursday,Working Day,Cloudy or Light Rain,86
181,10-05-2012,Spring,2012,May,18,No Holiday,Thursday,Non-Working Day,Light Rain or Mist,495
182,07-05-2012,Spring,2012,May,5,No Holiday,Monday,Working Day,Light Rain or Mist,29
183,07-02-2012,Winter,2012,February,5,No Holiday,Tuesday,Working Day,Heavy Snow or Rain,33
184,17-08-2011,Summer,2011,August,5,No Holiday,Wednesday,Non-Working Day,Clear or Partly Cloudy,14
185,20-06-2012,Summer,2012,June,19,No Holiday,Wednesday,Non-Working Day,Clear or Partly Cloudy,341
186,12-10-2011,Fall,2011,October,21,No Holiday,Wednesday,Non-Working Day,Cloudy or Light Rain,127
187,06-12-2012,Winter,2012,December,12,No Holiday,Thursday,Working Day,Heavy Snow or Rain,287
188,06-06-2012,Summer,2012,June,13,No Holiday,Wednesday,Working Day,Clear or Partly Cloudy,299
189,27-11-2011,Fall,2011,November,7,No Holiday,Sunday,Working Day,Cloudy or Light Rain,74
190,22-08-2012,Summer,2012,August,16,No Holiday,Wednesday,Non-Working Day,Clear or Partly Cloudy,513
191,25-05-2012,Spring,2012,May,18,No Holiday,Friday,Working Day,Light Rain or Mist,743
192,08-11-2011,Fall,2011,November,20,No Holiday,Tuesday,Non-Working Day,Cloudy or Light Rain,106
193,24-10-2011,Fall,2011,October,13,No Holiday,Monday,Working Day,Cloudy or Light Rain,129
194,14-03-2012,Spring,2012,March,21,No Holiday,Wednesday,Working Day,Light Rain or Mist,239
195,02-08-2011,Summer,2011,August,8,No Holiday,Tuesday,Working Day,Clear or Partly Cloudy,409
196,05-07-2012,Summer,2012,July,19,No Holiday,Thursday,Working Day,Clear or Partly Cloudy,332
197,25-05-2012,Spring,2012,May,6,No Holiday,Friday,Working Day,Light Rain or Mist,170
198,07-08-2011,Summer,2011,August,4,No Holiday,Sunday,Working Day,Clear or Partly Cloudy,6
199,19-08-2011,Summer,2011,August,6,No Holiday,Friday,Working Day,Clear or Partly Cloudy,32
200,09-08-2012,Summer,2012,August,11,No Holiday,Thursday,Non-Working Day,Clear or Partly Cloudy,527
201,21-06-2011,Summer,2011,June,5,No Holiday,Tuesday,Working Day,Clear or Partly Cloudy,6
202,02-09-2012,Fall,2012,September,7,No Holiday,Sunday,Working Day,Cloudy or Light Rain,480
203,28-06-2011,Summer,2011,June,11,No Holiday,Tuesday,Working Day,Clear or Partly Cloudy,115
204,07-03-2012,Spring,2012,March,6,No Holiday,Wednesday,Working Day,Light Rain or Mist,108
205,22-08-2011,Summer,2011,August,9,No Holiday,Monday,Non-Working Day,Clear or Partly Cloudy,222
206,17-03-2011,Spring,2011,March,11,No Holiday,Thursday,Working Day,Light Rain or Mist,144
207,20-07-2011,Summer,2011,July,0,No Holiday,Wednesday,Non-Working Day,Clear or Partly Cloudy,32
208,20-10-2011,Fall,2011,October,19,No Holiday,Thursday,Working Day,Cloudy or Light Rain,317
209,26-07-2011,Summer,2011,July,21,No Holiday,Tuesday,Working Day,Clear or Partly Cloudy,211
210,27-01-2012,Winter,2012,January,4,No Holiday,Friday,Working Day,Heavy Snow or Rain,10
211,22-12-2011,Winter,2011,December,5,No Holiday,Thursday,Working Day,Heavy Snow or Rain,17
212,28-01-2012,Winter,2012,January,23,No Holiday,Saturday,Working Day,Heavy Snow or Rain,180
213,25-04-2012,Spring,2012,April,10,No Holiday,Wednesday,Working Day,Light Rain or Mist,209
214,02-04-2011,Spring,2011,April,8,No Holiday,Saturday,Non-Working Day,Light Rain or Mist,88
215,23-12-2011,Winter,2011,December,12,No Holiday,Friday,Working Day,Heavy Snow or Rain,187
216,05-04-2011,Spring,2011,April,11,No Holiday,Tuesday,Non-Working Day,Light Rain or Mist,243
217,22-04-2012,Spring,2012,April,14,No Holiday,Sunday,Working Day,Light Rain or Mist,31
218,07-06-2011,Summer,2011,June,14,No Holiday,Tuesday,Working Day,Clear or Partly Cloudy,174
219,02-06-2011,Summer,2011,June,1,No Holiday,Thursday,Working Day,Clear or Partly Cloudy,23
220,16-01-2011,Winter,2011,January,8,No Holiday,Sunday,Working Day,Heavy Snow or Rain,498
221,25-10-2011,Fall,2011,October,17,No Holiday,Tuesday,Working Day,Cloudy or Light Rain,604
222,10-02-2011,Winter,2011,February,7,No Holiday,Thursday,Working Day,Heavy Snow or Rain,172
223,04-11-2011,Fall,2011,November,5,No Holiday,Friday,Working Day,Cloudy or Light Rain,16
224,11-04-2011,Spring,2011,April,6,No Holiday,Monday,Working Day,Light Rain or Mist,90
225,18-01-2011,Winter,2011,January,18,No Holiday,Tuesday,Non-Working Day,Heavy Snow or Rain,224
226,05-08-2012,Summer,2012,August,4,No Holiday,Sunday,Working Day,Clear or Partly Cloudy,5
227,22-04-2011,Spring,2011,April,10,No Holiday,Friday,Non-Working Day,Light Rain or Mist,105
228,11-10-2012,Fall,2012,October,10,No Holiday,Thursday,Working Day,Cloudy or Light Rain,190
229,25-09-2012,Fall,2012,September,9,No Holiday,Tuesday,Non-Working Day,Cloudy or Light Rain,222
230,24-03-2011,Spring,2011,March,0,No Holiday,Thursday,Working Day,Light Rain or Mist,7
231,12-02-2011,Winter,2011,February,14,No Holiday,Saturday,Working Day,Heavy Snow or Rain,158
232,05-05-2012,Spring,2012,May,1,No Holiday,Saturday,Working Day,Light Rain or Mist,10
233,15-09-2012,Fall,2012,September,23,No Holiday,Saturday,Working Day,Cloudy or Light Rain,120
234,02-03-2012,Spring,2012,March,13,No Holiday,Friday,Working Day,Light Rain or Mist,239
235,16-06-2012,Summer,2012,June,9,No Holiday,Saturday,Non-Working Day,Clear or Partly Cloudy,125
236,09-02-2011,Winter,2011,February,22,No Holiday,Wednesday,Working Day,Heavy Snow or Rain,107
237,07-07-2012,Summer,2012,July,10,No Holiday,Saturday,Working Day,Clear or Partly Cloudy,167
238,20-03-2011,Spring,2011,March,10,No Holiday,Sunday,Non-Working Day,Light Rain or Mist,262
239,15-10-2011,Fall,2011,October,23,No Holiday,Saturday,Working Day,Cloudy or Light Rain,116
240,04-08-2012,Summer,2012,August,3,No Holiday,Saturday,Working Day,Clear or Partly Cloudy,12
241,26-05-2012,Spring,2012,May,1,No Holiday,Saturday,Working Day,Light Rain or Mist,3
242,27-09-2011,Fall,2011,September,11,No Holiday,Tuesday,Non-Working Day,Cloudy or Light Rain,196
243,19-08-2011,Summer,2011,August,17,Holiday,Friday,Non-Working Day,Clear or Partly Cloudy,71
244,21-04-2011,Spring,2011,April,3,No Holiday,Thursday,Non-Working Day,Light Rain or Mist,9
245,26-03-2011,Spring,2011,March,3,No Holiday,Saturday,Non-Working Day,Light Rain or Mist,9
246,10-02-2011,Winter,2011,February,13,No Holiday,Thursday,Working Day,Heavy Snow or Rain,172
247,15-03-2012,Spring,2012,March,6,No Holiday,Thursday,Working Day,Light Rain or Mist,65
248,20-04-2011,Spring,2011,April,22,No Holiday,Wednesday,Working Day,Light Rain or Mist,106
249,18-09-2011,Fall,2011,September,21,No Holiday,Sunday,Working Day,Cloudy or Light Rain,20
250,15-08-2012,Summer,2012,August,21,No Holiday,Wednesday,Working Day,Clear or Partly Cloudy,391
251,25-09-2012,Fall,2012,September,0,No Holiday,Tuesday,Non-Working Day,Cloudy or Light Rain,187
252,21-09-2012,Fall,2012,September,12,No Holiday,Friday,Working Day,Cloudy or Light Rain,282
253,03-09-2012,Fall,2012,September,1,No Holiday,Monday,Working Day,Cloudy or Light Rain,14
254,14-04-2011,Spring,2011,April,15,No Holiday,Thursday,Working Day,Light Rain or Mist,179
255,18-03-2011,Spring,2011,March,6,No Holiday,Friday,Working Day,Light Rain or Mist,103
256,03-02-2012,Winter,2012,February,15,No Holiday,Friday,Working Day,Heavy Snow or Rain,262
257,20-09-2011,Fall,2011,September,21,No Holiday,Tuesday,Working Day,Cloudy or Light Rain,206
258,23-03-2011,Spring,2011,March,20,No Holiday,Wednesday,Non-Working Day,Light Rain or Mist,229
259,12-07-2012,Summer,2012,July,23,No Holiday,Thursday,Working Day,Clear or Partly Cloudy,131
260,08-04-2011,Spring,2011,April,16,No Holiday,Friday,Working Day,Light Rain or Mist,86
261,09-01-2011,Winter,2011,January,2,No Holiday,Sunday,Non-Working Day,Heavy Snow or Rain,79
262,27-06-2011,Summer,2011,June,22,No Holiday,Monday,Working Day,Clear or Partly Cloudy,73
263,04-03-2011,Spring,2011,March,18,No Holiday,Friday,Working Day,Light Rain or Mist,425
264,23-01-2012,Winter,2012,January,8,No Holiday,Monday,Working Day,Heavy Snow or Rain,501
265,17-08-2012,Summer,2012,August,0,No Holiday,Friday,Working Day,Clear or Partly Cloudy,28
266,24-10-2011,Fall,2011,October,10,No Holiday,Monday,Non-Working Day,Cloudy or Light Rain,79
267,16-04-2011,Spring,2011,April,22,No Holiday,Saturday,Working Day,Light Rain or Mist,89
268,15-05-2012,Spring,2012,May,1,No Holiday,Tuesday,Working Day,Light Rain or Mist,8
269,19-03-2012,Spring,2012,March,4,No Holiday,Monday,Non-Working Day,Light Rain or Mist,10
270,25-03-2012,Spring,2012,March,4,No Holiday,Sunday,Non-Working Day,Light Rain or Mist,12
271,18-09-2012,Fall,2012,September,9,No Holiday,Tuesday,Working Day,Cloudy or Light Rain,301
272,21-10-2011,Fall,2011,October,10,No Holiday,Friday,Working Day,Cloudy or Light Rain,124
273,07-05-2011,Spring,2011,May,14,No Holiday,Saturday,Non-Working Day,Light Rain or Mist,361
274,23-12-2011,Winter,2011,December,21,No Holiday,Friday,Non-Working Day,Heavy Snow or Rain,83
275,03-06-2011,Summer,2011,June,10,No Holiday,Friday,Non-Working Day,Clear or Partly Cloudy,36
